Headline,Link
Yt-dlp – A YouTube-dl fork with additional features and fixes,https://github.com/yt-dlp/yt-dlp
Work Hard (2007),https://terrytao.wordpress.com/career-advice/work-hard/
My Tungsten Cube (2019),https://thume.ca/2019/03/03/my-tungsten-cube/
Writing a simple JSON library from scratch: a tour through modern C++,https://notes.eatonphil.com/writing-a-simple-json-library-in-modern-cpp.html
I switched from macOS to Linux after 15 years of Apple,https://markosaric.com/linux/
TSMC hikes chip prices up to 20% amid supply shortage,https://asia.nikkei.com/Business/Tech/Semiconductors/TSMC-hikes-chip-prices-up-to-20-amid-supply-shortage
Seeking early signals of dementia in driving and credit scores,https://www.nytimes.com/2021/08/23/health/dementia-behavior-alzheimers.html
High Performance Correctly Rounded Math Libraries for 32-Bit Floating Point,https://blog.sigplan.org/2021/08/26/high-performance-correctly-rounded-math-libraries-for-32-bit-floating-point-representations/
Immunity Generated from Covid-19 Vaccines Differs from an Infection,https://directorsblog.nih.gov/2021/06/22/how-immunity-generated-from-covid-19-vaccines-differs-from-an-infection/
The Dual-Drive IDE Hell,https://www.os2museum.com/wp/the-dual-drive-ide-hell/
The Muse (YC W12) Is Hiring a Senior Growth/Front End Engineer,https://www.themuse.com/jobs/themuse/senior-frontend-engineer
Nauka's Troubled Flight–Before It Tumbled the ISS,https://spectrum.ieee.org/naukas-troubled-flight-t
A New Look at the Hobo,https://lareviewofbooks.org/article/a-new-look-at-the-hobo/
"Squatters in Spain who demand a ""ransom"" before they will leave a property",https://www.bbc.com/news/stories-58310532
"Making Sense of Satellite Data, Open Source Workflow",https://nightingaledvs.com/making-sense-of-satellite-data-an-open-source-workflow-accessing-data/
LimeSDR,https://limemicro.com/products/boards/limesdr/
"Monitoring Raspberry Pi Devices Using Telegraf, InfluxDB and Grafana",https://blog.thecloudside.com/raspberry-pi-monitoring-using-telegraf-influxdb-and-grafana-defb63127fe3
"Launch YC S21: Meet the Batch, Thread #9",item?id=28315042
Lodash's Chain vs. Native Methods,https://www.maartenhus.nl/blog/lodash-chain-vs-native-methods
Ask HN: Where can I live off 1k USD per month?,item?id=28309520
Sailfish 4,https://sailfishos.org/
FBI Palantir glitch allowed unauthorized access to private data,https://nypost.com/2021/08/25/fbi-palantir-glitch-allowed-unauthorized-access-to-private-data/
Rent control isn’t working in Sweden,https://www.bbc.com/news/business-58317555
"George Gamow, Fred Hoyle, and the great Big Bang debate",https://www.nytimes.com/2021/08/24/books/review/flashes-of-creation-paul-halpern.html
Why are hyperlinks blue?,https://blog.mozilla.org/en/internet-culture/deep-dives/why-are-hyperlinks-blue/
Silent changes to Western Digital’s budget SSD may lower speeds by up to 50%,https://arstechnica.com/gadgets/2021/08/silent-changes-to-western-digitals-budget-ssd-may-lower-speeds-by-up-to-50/
T-Mobile Hacker Who Stole Data on 50M Customers: ‘Their Security Is Awful’,https://www.wsj.com/articles/t-mobile-hacker-who-stole-data-on-50-million-customers-their-security-is-awful-11629985105
Show HN: With a 9-5 job and 2 kids I have finally finished my first MVP,item?id=28320346
An Illustrated Guide to Post-Orwellian Censorship,https://thereader.mitpress.mit.edu/an-illustrated-guide-to-post-orwellian-censorship/
Statistical process control after W. Edwards Deming (2020),https://www.2uo.de/deming/
